Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,,WLAN,Bluetooth,GPS,Radio,USB,Sensors,_1,Colors,Protection,Chipset,CPU,GPU,Dual,Features,Features_1,NFC,Models,_1_1,Price,Infrared port,Charging,Stand-by,Talk time,GPRS,EDGE,Build,Music play,Phonebook,Call records,Messaging,Games,Java,SAR EU,Display,Camera,Loudspeaker_1,Audio quality,Battery life,SAR,Keyboard,Browser,Alert types,Clock,Alarm,Languages,Dual_1,Performance,Triple,5G,Quad
b'infinix',b'Infinix Note 6',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-note-6-x610.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, June'","b'Available. Released 2019, June'",b'154.2 x 74.5 x 7.7 mm (6.07 x 2.93 x 0.30 in)',b'173 g (6.10 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED capacitive touchscreen, 16M colors'","b'6.01 inches, 93.2 cm2 (~81.1% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~402 ppi density)'",b'Android 9.0 (Pie)',b'microSD (dedicated slot)',"b'64 GB, 4 GB RAM'",b'16 MP',b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',b'Stylus',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Midnight Black, Mocha Brown, Aqua Blue'",,b'Mediatek MT6765 Helio P35 (12nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,"b'Dual-LED flash, panorama, HDR'",b'LED flash',,b'X610',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'16 MP (wide), PDAF 8 MP (ultrawide) 2 MP, depth sensor'",,
b'infinix',b'Infinix Smart3 Plus',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-smart3-plus.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'","b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'157 x 76 x 7.8 mm (6.18 x 2.99 x 0.31 in)',b'148 g (5.22 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.21 inches, 96.3 cm2 (~80.7% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 256 GB (dedicated slot)'","b'32 GB, 2/3 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 3500 mAh battery',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Midnight Black, Aqua Blue, Cosmic Purple, Bordeaux Red, Mocha Brown'",,b'Mediatek MT6761 Helio A22 (12 nm)',b'Quad-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',,"b'Dual-LED flash, HDR'",b'HDR',,"b'X267, X267 X627V'",,b'About 7000 INR',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'13 MP, f/1.8, PDAF 2 MP QVGA'",,
b'infinix',b'Infinix S4',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-hot-s4.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, April'","b'Available. Released 2019, April'",b'156 x 75 x 7.9 mm (6.14 x 2.95 x 0.31 in)',b'154 g (5.43 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~82.0% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB (dedicated slot)'","b'64 GB, 6 GB RAM or 32 GB, 3 GB RAM'",b'32 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,"b'Space gray, nebula blue, twilight purple'",,b'Mediatek MT6762 Helio P22 (12 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'PowerVR GE8320',,"b'Quad-LED flash, panorama, HDR'",,,"b'X626, X626B'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'13 MP, PDAF 8 MP 2 MP'",,
b'infinix',b'Infinix Hot 7 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-hot-7-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'155 x 74.8 x 8 mm (6.10 x 2.94 x 0.31 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 95.9 cm2 (~82.8% screen-to-body ratio)'","b'720 x 1520 pixels, 19:9 ratio (~271 ppi density)'",b'Android 9.0 (Pie)',"b'microSD, up to 128 GB'","b'32/64 GB, 2/3/6 GB RAM'","b'13 MP 2 MP, depth sensor'",b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Midnight Black, Mocha Brown, Bordeaux Red, Aqua Blue'",,b'Mediatek MT6757T Helio P25 (16 nm) - 32+2 GBMediatek MT6762 Helio P22 (12 nm) - 32/64+3/6 GB',b'Octa-core (4x2.4 GHz Cortex-A53 & 4x1.6 GHz Cortex-A53)Octa-core 1.8 GHz Cortex-A53',b'Mali-T880MP2PowerVR GE8320',"b'13 MP, AF 2 MP, depth sensor'","b'Dual-LED flash, panorama, HDR'",b'LED flash',,"b'X625, X625B, X625'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 7',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-hot7.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1700 / 1900 / 2100',b'N/A',b'HSPA 42.2/5.76 Mbps',"b'2019, January'","b'Available. Released 2019, January'",b'157 x 75.7 x 8 mm (6.18 x 2.98 x 0.31 in)',b'166 g (5.86 oz)',"b'Dual SIM (Micro-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 99.2 cm2 (~83.5% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~260 ppi density)'",b'Android 8.0 Oreo (Go edition)',"b'microSD, up to 128 GB (dedicated slot)'","b'32 GB, 2 GB RAM or 16 GB, 1 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Sandstone Black, Sapphire Blue, Blush Gold, Bordeaux Red'",,b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz',,"b'13 MP, AF QVGA, depth sensor'","b'LED flash, panorama, HDR'",b'LED flash',,"b'X624B, X624'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Zero 6 Pro',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'156.8 x Unknown x 8 mm',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'",b'6.18 inches',b'FullHD+',b'Android 8.0 (Oreo)',b'microSD (dedicated slot)',"b'128 GB, 6 GB RAM'",b'20 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Ion 3650 mAh battery',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'Yes',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,b'Sapphire Cyan',b'Corning Gorilla Glass 5',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core 1.8 GHz Kryo 260',b'Adreno 509',"b'12 MP, AF 24 MP, AF'","b'Quad-LED dual-tone flash, HDR, panorama'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Zero 6',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-zero-6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps'","b'2019, March'","b'Available. Released 2019, March'",b'156.8 x Unknown x 8 mm',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'",b'6.18 inches',b'FullHD+',b'Android 8.0 (Oreo)',b'microSD (dedicated slot)',"b'64 GB, 6 GB RAM'",b'20 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Ion 3650 mAh battery',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'Yes',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",,"b'Black, Gold'",b'Corning Gorilla Glass 5',b'Qualcomm SDM636 Snapdragon 636 (14 nm)',b'Octa-core 1.8 GHz Kryo 260',b'Adreno 509',"b'12 MP, AF 24 MP, AF'","b'Quad-LED dual-tone flash, HDR, panorama'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Smart 2 HD',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-smart2-hd-n.jpg',b'GSM / HSPA',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',,b'HSPA 21.1/5.76 Mbps',"b'2018, October'","b'Available. Released 2018, October'",b'156.9 x 76.5 x 8.2 mm (6.18 x 3.01 x 0.32 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.9 cm2 (~77.4% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'16 GB, 1 GB RAM'","b'8 MP, AF'",b'1080p@30fps',b'8 MP',b'',b'Yes',b'Yes',b'Non-removable Li-Ion 3500 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Accelerometer, proximity, compass, fingerprint (except Thailand, Colombia)'",,"b'Sandstone Black, Bordeaux Red, Serene Gold'",,b'Mediatek MT6580 (28 nm)',b'Quad-core 1.3 GHz Cortex-A7',,,"b'LED flash, panorama, HDR'",b'LED flash',,b'X609',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 6X',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-hot6x-n.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 10(1700/2100), 20(800), 28(700), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'2018',b'Available. Released 2018',b'157 x 75 x 8 mm (6.18 x 2.95 x 0.31 in)',b'168 g (5.93 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD capacitive touchscreen, 16M colors'","b'6.2 inches, 96.7 cm2 (~82.2% screen-to-body ratio)'",b'720 x 1500 pixels (~268 ppi density)',b'Android 8.1 (Oreo)',"b'microSD, up to 128 GB'","b'32 GB, 3 RAM or 16 GB, 2 GB RAM'",b'8 MP',b'1080p@30fps',,b'',b'Yes',b'Yes',b'Non-removable Li-Po 4000 mAh battery',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,"b'Midnight Black, Champagne Gold, Kent Blue, Bordeaux Red'",,b'Qualcomm MSM8917 Snapdragon 425 (28 nm)',b'Quad-core 1.4 GHz Cortex-A53',b'Adreno 308',"b'13 MP, PDAF 2 MP, depth sensor'","b'Dual-LED flash, panorama, HDR'",b'LED flash',,b'X623',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Note 5 Stylus',b'https://cdn2.gsmarena.com/vv/bigpic/infinix-note5-stylus-n.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'LTE band 1(2100), 3(1800), 5(850), 8(900), 38(2600), 40(2300), 41(2500)'","b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'",b'2018',b'Available. Released 2018',b'158 x 75 x 8.4 mm (6.22 x 2.95 x 0.33 in)',b'173 g (6.10 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'LTPS IPS LCD capacitive touchscreen, 16M colors'","b'6.0 inches, 92.4 cm2 (~78.0% screen-to-body ratio)'","b'1080 x 2160 pixels, 18:9 ratio (~403 ppi density)'",b'Android 8.1 (Oreo); Android One',"b'microSD, up to 128 GB (uses SIM 2 slot)'","b'32/64 GB, 4 GB RAM'","b'16 MP (wide), f/1.8, 1.12\xc2\xb5m, PDAF'","b'2160p@30fps, 1080p@30fps (gyro-EIS), 720p@120fps'","b'16 MP, f/2.0, 1.0\xc2\xb5m'",b'1080p@30fps',b'Yes',b'Yes',b'Stylus',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'",b'Non-removable Li-Po 4000 mAh battery',"b'Bordeaux Red, Charcoal Blue, Champagne Gold'",,b'Mediatek MT6763T Helio P23 (16 nm)',b'Octa-core 2.0 GHz Cortex-A53',b'Mali-G71 MP2',,"b'Dual-LED dual-tone flash, panorama, HDR'",,,b'X605',,,,b'Fast battery charging 10W',,,,,"b'Front glass, aluminum body'",,,,,,,,,,,,,,,,,,,,,,,,
