Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1_1,Internal,Alert types,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm,4G bands,Build,Chipset,GPU,Models,NFC,Charging,SAR,5G,Triple,Dual,Features_1,Performance,Display,Camera,Loudspeaker_1,Battery life,Quad,Audio quality,Triple_1,Keyboard,Languages
b'sendo',b'Sendo X2',b'https://cdn2.gsmarena.com/vv/bigpic/sex2.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2005, Q1'",b'Cancelled',b'85 cc',b'95 g (3.35 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2'",b'176 x 220 pixels (~128 ppi density)',b'miniSD',,,b'1.3 MP',,b'Yes',,,b'No',b'No',b'No',b'Yes',b'No',b'No',b'Proprietary',b'',,"b'WAP 2.0/xHTML, HTML'",,,b'No',b'Photo editor AAC/MP3 player SyncML',,,,b'',,b'Yes',b'No',b'Removable Li-Ion battery',b'32 MB',b'Vibration; Downloadable polyphonic ringtones',,b'Yes',,"b'Symbian, Series 60 UI'",b'120 MHz ARM925T',,,,,b'TI OMAP 5910',,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S1',b'https://cdn2.gsmarena.com/vv/bigpic/ses1.gif',b'GSM',b'GSM 900 / 1800',,,"b'2005, Q1'",b'Cancelled',b'',b'83 g (2.93 oz)',b'Mini-SIM',b'',b'',"b'96 x 64 pixels, 3:2 ratio'",b'No',b'Yes',"b'30 received, dialed and missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'',b'No',b'Downloadable wallpapers and animated screensavers',b'No',b'Up to 425 h',b'Up to 7 h',,b'',,b'Yes',b'No',b'Removable Li-Ion battery',,b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo K1',b'https://cdn2.gsmarena.com/vv/bigpic/sek1.gif',b'GSM',b'GSM 900 / 1800',,,"b'2005, Q1'",b'Cancelled',b'',b'',b'Mini-SIM',b'65K colors',b'',b'',b'No',b'Yes',"b'30 received, dialed and missed calls'",,,,,,b'No',b'No',b'No',b'1.2',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'No',b'5-way navigation key Downloadable wallpapers and animated screensavers',b'No',b'Up to 400 h',b'Up to 7 h',,b'',,b'Yes',b'No',b'Removable Li-Ion battery',,b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo P600',b'https://cdn2.gsmarena.com/vv/bigpic/sep600.gif',b'GSM',b'GSM 900 / 1800',,,"b'2004, Q3'",b'Discontinued',"b'108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)'",b'85 g (3.00 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',"b'750 entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'",b'VGA',,b'No',,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',"b'Yes, MIDP 2.0'",b'GSM 850 / 1900 - US version',b'Downloadable wallpapers',b'Up to 380 h',b'Up to 6 h',,b'',,b'Class 8',b'No',b'Removable Li-Ion battery',b'3.7 MB',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo SV663',b'https://cdn2.gsmarena.com/vv/bigpic/sesv663.gif',b'GSM',b'GSM 900 / 1800',,,"b'2004, Q3'",b'Discontinued',"b'108 x 45 x 19.5 mm, 76 cc (4.25 x 1.77 x 0.77 in)'",b'86 g (3.03 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',b'128 x 160 pixels',b'No',"b'250 x 4 fields, Photo call'","b'10 dialed, 10 received, 10 missed calls'",b'VGA',,b'No',,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'Yes + downloadable',"b'Yes, MIDP 2.0'","b'Downloadable wallpapers, screensavers 5-way navigation key'",b'No',b'Up to 400 h',b'Up to 7 h',,b'',,b'Class 10',b'No',b'Removable Li-Ion 800 mAh battery',b'3.3 MB',"b'Vibration; Downloadable polyphonic, monophonic ringtones'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo M570',b'https://cdn2.gsmarena.com/vv/bigpic/sem570.gif',b'GSM',b'GSM 900 / 1800',,,"b'2004, Q1'",b'Discontinued',"b'82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)'",b'77 g (2.72 oz)',b'Mini-SIM',"b'UFB, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',"b'250 x 5 fields, contact groups'","b'10 dialed, 10 received, 10 missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, MMS'",b'WAP 2.0/xHTML',b'Yes',b'Yes',"b'Second display, inverse, 96 x 64 pixels Downloadable wallpapers'",b'50 preloaded images for MMS',b'Up to 400 h',b'Up to 5 h',,b'',,b'Class 8',b'No',b'Removable Li-Ion 600 mAh battery',b'3.7 MB',"b'Vibration; Downloadable polyphonic, monophonic ringtones'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S600',b'https://cdn2.gsmarena.com/vv/bigpic/ses600.gif',b'GSM',b'GSM 900 / 1800',,,"b'2004, Q1'",b'Discontinued',"b'108 x 45 x 20 mm, 76 cc (4.25 x 1.77 x 0.79 in)'",b'83 g (2.93 oz)',b'Mini-SIM',"b'TFT, 65K colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',"b'250 x 3  entries, Photo call'","b'10 dialed, 10 received, 10 missed calls'",b'VGA',,b'No',,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',b'3 + downloadable',"b'Yes, MIDP 2.0'",b'GSM 850 / 1900 - US version',"b'Downloadable wallpapers, screensavers'",b'Up to 450 h',b'Up to 7 h',,b'',,b'Class 8',b'No',b'Removable Li-Ion battery',b'3.7 MB',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo X',b'https://cdn2.gsmarena.com/vv/bigpic/sex.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,"b'2003, Q4'",b'Discontinued',"b'110 x 49 x 23 mm, 108 cc (4.33 x 1.93 x 0.91 in)'",b'120 g (4.23 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~28.3% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'MMC/SD',,,b'VGA',b'LED flash',b'Yes',,,b'No',b'No',b'No',b'1.1',b'No',b'No',b'Proprietary',b'',,"b'WAP 2.0/xHTML, HTML with SSL'",,,b'No',b'MP4/MP3 player Sync ML',b'Up to 170 h',b'Up to 7 h',,b'',,b'Class 8',b'No',b'Removable Li-Po 1050 mAh battery',b'32 MB',b'Vibration; Downloadable polyphonic ringtones',,b'Yes',,"b'Symbian 6.1, Series 60 v1.0 UI'",b'120 MHz ARM925T',,,,,b'TI OMAP 5910',,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S360',b'https://cdn2.gsmarena.com/vv/bigpic/ses360.gif',b'GSM',b'GSM 900 / 1800',,,"b'2004, Q4'",b'Discontinued',"b'108 x 45 x 19 mm, 77 cc (4.25 x 1.77 x 0.75 in)'",b'83 g (2.93 oz)',b'Mini-SIM',"b'CSTN, 65K colors'",b'',"b'128 x 128 pixels,, 1:1 ratio'",b'No',"b'250 entries, Picture call'","b'30 received, dialed and missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS, MMS'",b'WAP 2.0/xHTML',"b'5 - Funny Farmer, Solitaire, Sumito, Tenpin, Splat+ downloadable'",b'No',b'Downloadable wallpapers and animated screensavers',b'No',b'Up to 400 h',b'Up to 7 h',,"b'Black, Blue'",,b'Class 8',b'No',b'Removable Li-Ion battery',b'2 MB',b'Vibration; Downloadable polyphonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S330',b'https://cdn2.gsmarena.com/vv/bigpic/ses330.gif',b'GSM',b'GSM 900 / 1800',,,"b'2003, Q4'",b'Discontinued',"b'108 x 47 x 21 mm, 79 cc (4.25 x 1.85 x 0.83 in)'",b'81 g (2.86 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'98 x 67 pixels, 5 lines, 3:2 ratio'",b'No',b'500',"b'10 received, 10 dialed and 10 missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',b'Downloadable',b'No',b'Soft keys Downloadable icons',b'20 short messages',b'Up to 480 h',b'Up to 7 h',,b'',,b'Class 8',b'No',b'Removable Li-Ion battery',,b'Vibration; Downloadable monophonic - iMelody and Nokia format ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,b'6 preloaded languages'
b'sendo',b'Sendo S300',b'https://cdn2.gsmarena.com/vv/bigpic/ses300.gif',b'GSM',b'GSM 900 / 1800',,,"b'2003, Q1'",b'Discontinued',b'107 x 47 x 21 mm (4.21 x 1.85 x 0.83 in)',b'90 g (3.17 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 5 lines, 3:2 ratio'",b'No',b'200',"b'10 received, 10 dialed and 10 missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',"b'4 - Sumino, Carz, Splat & Ten Pin'",b'No',b'Soft keys',b'Message templates SMS smileys',b'Up to 260 h',b'Up to 5 h',,"b'4 - Midnight, Ink Blue, Frosty Mint, Pepper Red'",,b'No',b'No',b'Removable Li-Ion 600 mAh battery',,b'Vibration; Downloadable monophonic ringtones',,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'European, American and Asian languages'"
b'sendo',b'Sendo M550',b'https://cdn2.gsmarena.com/vv/bigpic/sem550.gif',b'GSM',b'GSM 900 / 1800',,,"b'2003, Q2'",b'Discontinued',"b'82 x 45 x 20 mm, 68 cc (3.23 x 1.77 x 0.79 in)'",b'77 g (2.72 oz)',b'Mini-SIM',"b'CSTN, 4096 colors'",b'',"b'128 x 128 pixels, 1:1 ratio'",b'No',b'500',"b'10 dialed, 10 received, 10 missed calls'",,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',"b'3 - Ten Pin ,KombatClub and Splat'",b'No',"b'Second display, inverse, 96 x 64 pixels'",b'Dynamic memory',b'180 h - 400 h',b'2 h - 5 h',,b'',,b'Class 8',b'No',b'Removable Li-Ion battery',,b'Vibration; Downloadable polyphonic ringtones',,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo Z100',b'https://cdn2.gsmarena.com/vv/bigpic/sez100.gif',b'GSM',b'GSM 900 / 1800 / 1900',,,b'Never',b'Cancelled',"b'126 x 48 x 17 mm, 99 cc (4.96 x 1.89 x 0.67 in)'",b'99 g (3.49 oz)',b'Mini-SIM',"b'TFT, 65K colors'","b'2.2 inches, 35 x 44 mm, 15.2 cm2 (~25.2% screen-to-body ratio)'",b'176 x 220 pixels (~128 ppi density)',b'MMC',b'',b'',,,,,,b'Yes',b'No',b'No',b'No',b'No',b'No',b'Proprietary',b'',b'SMS',b'',b'Yes',b'No',b'No',b'Advanced mobile Internet Organizer MP3 and WMA player RS-232 connectivity MMC card slot Voice dial Voice memo RS-232 connectivity',b'100 h',b'4 h',,b'',,b'Yes',b'No',b'Removable Li-Ion battery',,b'Vibration; Monophonic ringtones',,b'Yes',,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo J530',b'https://cdn2.gsmarena.com/vv/bigpic/sej530.gif',b'GSM',b'GSM 900 / 1800',,,"b'2002, February'",b'Discontinued',b'107 x 49 x 18 mm (4.21 x 1.93 x 0.71 in)',b'75 g (2.65 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',"b'SMS, EMS'",b'WAP 1.2.1',b'Downloadable',b'No',b'Soft keys Downloadable screen graphics and logos',b'Message templates SMS smileys 20 voice dial numbers 60 sec voice memo',b'up to 230 h',b'up to 3 h',,"b'Translucent Blue, Translucent Red, Translucent Grey'",,b'No',b'No',b'Removable Li-Ion battery',,"b'Vibration; Downloadable monophonic ringtones, composer'",,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo J520',b'https://cdn2.gsmarena.com/vv/bigpic/sej520.gif',b'GSM',b'GSM 900 / 1800',,,"b'2001, Q4'",b'Discontinued',"b'113 x 50 x 25 mm, 79 cc (4.45 x 1.97 x 0.98 in)'",b'75 g (2.65 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'WAP',"b'4 - FlippIT, Quaddro, Scizzors, Splash'",b'No',b'Soft keys',b'Message templates SMS smileys',b'up to 300 h',b'up to 3 h',,b'',,b'No',b'No',b'Removable Li-Ion battery',,"b'Vibration; Downloadable monophonic ringtones, composer'",,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S230',b'https://cdn2.gsmarena.com/vv/bigpic/ses230.gif',b'GSM',b'GSM 900 / 1800',,,"b'2002, February'",b'Discontinued',b'115 x 50 x 24 mm (4.53 x 1.97 x 0.94 in)',b'98 g (3.46 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'WAP 1.2.1',"b'12 - Splash, Quaddro, Scizzors, FlippIT ...'",b'No',b'Soft keys',b'Message templates SMS smileys',b'up to 230 h',b'up to 4 h',,"b'4 - Midnight, Ink Blue, Frosty Mint, Pepper Red'",,b'No',b'No',b'Removable NiMH battery',,"b'Vibration; Downloadable monophonic ringtones, composer'",,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo P200',b'https://cdn2.gsmarena.com/vv/bigpic/sep200.gif',b'GSM',b'GSM 900 / 1800',,,"b'2001, Q3'",b'Discontinued',"b'105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)'",b'98 g (3.46 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',"b'4 - FlippIT, Quaddro, Scizzors, Splash'",b'No',b'Soft keys',b'Message templates SMS smileys',b'170 h - 360 h',b'2.5 h - 3.5 h',,"b'3 - Midnight Blue, Ink Blue, Forest Green'",,b'No',b'No',b'Removable Li-Ion battery',,"b'Vibration; Downloadable monophonic ringtones, composer'",,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo S200',b'https://cdn2.gsmarena.com/vv/bigpic/ses200.gif',b'GSM',b'GSM 900 / 1800',,,"b'2001, Q2'",b'Discontinued',"b'105 x 50 x 22 mm, 89 cc (4.13 x 1.97 x 0.87 in)'",b'98 g (3.46 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',"b'4 - FlippIT, Quaddro, Scizzors, Splash'",b'No',b'Soft keys',b'Message templates SMS smileys',b'300 h',b'3 h',,"b'4 - Midnight, Ink Blue, Frosty Mint and Pepper Red'",,b'No',b'No',b'Removable Li-Ion battery',,"b'Vibration; Monophonic ringtones, composer'",,,,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
b'sendo',b'Sendo D800',b'https://cdn2.gsmarena.com/vv/bigpic/sed800.gif',b'GSM',b'GSM 900 / 1800',,,b'2000',b'Discontinued',"b'102 x 44 x 19 mm, 69 cc (4.02 x 1.73 x 0.75 in)'",b'68 g (2.40 oz)',b'Mini-SIM',b'Monochrome graphic',b'',"b'96 x 64 pixels, 6 lines, 3:2 ratio'",b'No',b'',b'',,,,,,b'No',b'No',b'No',b'No',b'No',b'No',b'',b'',b'SMS',b'',"b'4 - FlippIT, Quaddro, Scizzors, Splash'",b'No',b'Ice Blue backlight Fixed icons Soft keys',b'Message templates',,,,b'',,b'No',b'No',b'Removable Li-Ion battery',,b'Vibration; Monophonic ringtones',,b'Yes',,,,b'Yes',b'Yes',,,,,,,,,,,,,,,,,,,,,,
